ID_Vta,Fecha_Hora,Precio_vta,articulos_vendidos_vta,ID_Art,ID_Estruct,ID_Puesto,Nombre_Puesto
100,2024-04-30 11:10:00,134,21,27,3,27,creaciones_del_corazon
101,2024-04-30 11:19:00,115,33,34,4,34,mundo_de_las_maravillas
102,2024-04-30 10:20:00,38,4,10,2,10,maravillas_del_arte
103,2024-04-30 11:21:00,166,29,9,1,9,maravillas_textiles
104,2024-04-30 11:30:00,68,14,11,2,11,joyas_del_mundo
105,2024-04-30 10:29:00,31,6,40,5,40,creaciones_del_mundo
106,2024-04-30 9:20:00,87,5,44,5,44,arte_y_tradicion
107,2024-04-30 11:27:00,78,23,30,4,30,creaciones_del_mundo
108,2024-04-30 11:51:00,21,11,4,1,4,artesanias_del_mundo
109,2024-04-30 9:48:00,141,24,21,3,21,tesoros_textiles
110,2024-04-30 9:38:00,116,27,37,4,37,encanto_y_belleza
111,2024-04-30 10:41:00,108,25,2,1,2,tesoros_del_pasado
112,2024-04-30 9:09:00,34,17,4,1,4,artesanias_del_mundo
113,2024-04-30 10:07:00,171,45,15,2,15,belleza_hecha_a_mano
114,2024-04-30 10:04:00,121,14,38,4,38,arte_en_detalles
115,2024-04-30 11:36:00,109,25,21,3,21,tesoros_textiles
116,2024-04-30 10:19:00,274,76,26,3,26,mundo_de_la_creatividad
117,2024-04-30 10:27:00,38,12,45,5,45,tesoros_del_arte
118,2024-04-30 11:30:00,138,31,2,1,2,tesoros_del_pasado
119,2024-04-30 9:10:00,161,52,43,5,43,creaciones_con_alma
120,2024-04-30 10:04:00,119,35,13,2,13,tesoros_hechos_a_mano
121,2024-04-30 10:29:00,156,46,33,4,33,madera_y_arte
122,2024-04-30 10:52:00,104,22,20,3,20,mundo_creativo
123,2024-04-30 9:37:00,96,37,14,2,14,encanto_hecho_a_mano
124,2024-04-30 10:12:00,239,31,4,1,4,artesanias_del_mundo
125,2024-04-30 9:57:00,145,38,29,4,29,creatividad_en_expansion
126,2024-04-30 9:32:00,104,26,33,4,33,madera_y_arte
127,2024-04-30 11:25:00,105,36,30,4,30,creaciones_del_mundo
128,2024-04-30 10:54:00,119,27,4,1,4,artesanias_del_mundo
129,2024-04-30 9:46:00,21,7,41,5,41,creatividad_en_accion
130,2024-04-30 10:36:00,141,37,8,1,8,arte_y_pasion
131,2024-04-30 11:42:00,123,22,16,2,16,creaciones_con_amor
132,2024-04-30 9:57:00,125,27,30,4,30,creaciones_del_mundo
133,2024-04-30 11:46:00,107,18,2,1,2,tesoros_del_pasado
134,2024-04-30 11:15:00,76,19,2,1,2,tesoros_del_pasado
135,2024-04-30 9:41:00,119,28,41,5,41,creatividad_en_accion
136,2024-04-30 9:06:00,33,16,6,1,6,mundo_artesano
137,2024-04-30 9:53:00,90,16,1,1,1,artesanias_de_la_naturaleza
138,2024-04-30 9:23:00,47,13,27,3,27,creaciones_del_corazon
139,2024-04-30 11:30:00,51,8,38,4,38,arte_en_detalles
140,2024-04-30 10:38:00,15,10,26,3,26,mundo_de_la_creatividad
141,2024-04-30 9:08:00,63,4,16,2,16,creaciones_con_amor
142,2024-04-30 10:31:00,77,38,27,3,27,creaciones_del_corazon
143,2024-04-30 9:18:00,69,23,29,4,29,creatividad_en_expansion
144,2024-04-30 11:35:00,255,52,22,3,22,hilos_y_tejidos
145,2024-04-30 10:03:00,83,32,38,4,38,arte_en_detalles
146,2024-04-30 9:49:00,50,20,28,3,28,maravillas_del_arte
147,2024-04-30 9:01:00,117,41,44,5,44,arte_y_tradicion
148,2024-04-30 9:28:00,104,38,5,1,5,encanto_artesanal
149,2024-04-30 10:18:00,37,3,34,4,34,mundo_de_las_maravillas
150,2024-04-30 11:09:00,63,3,9,1,9,maravillas_textiles
151,2024-04-30 11:34:00,56,10,23,3,23,fantasia_en_papel
152,2024-04-30 11:56:00,141,34,25,3,25,creaciones_fantasticas
153,2024-04-30 9:21:00,52,8,28,3,28,maravillas_del_arte
154,2024-04-30 11:44:00,99,25,10,2,10,maravillas_del_arte
155,2024-04-30 9:10:00,49,8,21,3,21,tesoros_textiles
